X [ m ],Velocity v [ m s^-1 ]
0.00000000e+00, 0.00000000e+00
2.56410260e-02, 6.52519520e-05
5.12820520e-02, 1.19018528e-04
7.69230798e-02, 1.62276832e-04
1.02564104e-01, 1.96151508e-04
1.28205135e-01, 2.21830953e-04
1.53846160e-01, 2.40459922e-04
1.79487184e-01, 2.53065722e-04
2.05128208e-01, 2.60515139e-04
2.30769232e-01, 2.63502094e-04
2.56410271e-01, 2.62541958e-04
2.82051295e-01, 2.57986336e-04
3.07692319e-01, 2.50046112e-04
3.33333343e-01, 2.38818844e-04
3.58974367e-01, 2.24318006e-04
3.84615391e-01, 2.06499986e-04
4.10256416e-01, 1.85285870e-04
4.35897440e-01, 1.60588097e-04
4.61538464e-01, 1.32335976e-04
4.87179488e-01, 1.00496240e-04
5.12820542e-01, 6.51013252e-05
5.38461566e-01, 2.62808207e-05
5.64102590e-01, -1.57024606e-05
5.89743614e-01, -6.04058441e-05
6.15384638e-01, -1.07153115e-04
6.41025662e-01, -1.55048998e-04
6.66666687e-01, -2.02855037e-04
6.92307711e-01, -2.48817349e-04
7.17948735e-01, -2.90852331e-04
7.43589759e-01, -3.26584384e-04
7.69230783e-01, -3.53346462e-04
7.94871807e-01, -3.68425943e-04
8.20512831e-01, -3.69401096e-04
8.46153855e-01, -3.54595453e-04
8.71794879e-01, -3.23467975e-04
8.97435904e-01, -2.76881561e-04
9.23076928e-01, -2.17110399e-04
9.48717952e-01, -1.47961153e-04
9.74358976e-01, -7.37424998e-05
1.00000000e+00, -1.04467021e-12
